Date,Home Team,Away Team,Difference doubles,Difference triples,Difference homeruns,Difference hits,Difference hitbypitch,Difference avg,Difference obp,Difference slg,Difference ops,Difference groundintodoubleplay,Difference leftonbase,Difference strikeouts,Difference baseonballs,Difference whip,Difference strikepercentage,Difference pitchesperinning,Difference homerunsper9,Home Team Won
"April 2, 2025",CWS,MIN,-3.0,0.0,-1.0,-2.0,-1.0,0.03,0.016000000000000014,0.07400000000000001,0.08999999999999997,0.0,6.0,-3.0,-1.0,-0.3799999999999999,-0.029999999999999916,0.6699999999999999,1.0,False
"April 2, 2025",TOR,WSH,3.0,0.0,0.0,5.0,1.0,0.07499999999999998,0.07599999999999996,0.022999999999999965,0.09899999999999998,0.0,7.0,1.0,0.0,-0.48,-0.010000000000000009,-4.970000000000001,-0.1299999999999999,True
"April 2, 2025",ATH,CHC,0.0,0.0,-1.0,-6.0,-1.0,-0.036000000000000004,-0.061,-0.064,-0.125,2.0,-9.0,1.0,2.0,0.050000000000000044,-0.050000000000000044,6.560000000000002,1.0,False
"April 2, 2025",SD,CLE,-2.0,0.0,2.0,2.0,0.0,0.07099999999999998,0.07400000000000001,0.04799999999999999,0.122,0.0,6.0,4.0,-1.0,-0.57,0.030000000000000027,-3.879999999999999,-2.25,True
"April 2, 2025",SEA,DET,1.0,0.0,0.0,0.0,0.0,-0.09300000000000003,-0.051000000000000045,-0.10999999999999999,-0.16100000000000003,0.0,-11.0,-1.0,1.0,0.17999999999999994,-0.009999999999999898,-0.5500000000000007,-0.1299999999999999,True
"April 2, 2025",HOU,SF,-1.0,0.0,-3.0,1.0,0.0,-0.02400000000000002,-0.0030000000000000027,-0.17700000000000002,-0.18000000000000005,0.0,8.0,2.0,0.0,0.07000000000000006,0.040000000000000036,0.7799999999999994,3.0,False
"April 2, 2025",MIA,NYM,-2.0,0.0,-1.0,4.0,0.0,0.055999999999999994,0.04199999999999998,0.014000000000000012,0.05600000000000005,-2.0,6.0,-2.0,-1.0,0.040000000000000036,0.040000000000000036,0.0,0.82,False
"April 2, 2025",BAL,BOS,-3.0,0.0,-1.0,-6.0,0.0,0.06400000000000003,0.041000000000000036,0.133,0.17400000000000004,0.0,-2.0,0.0,1.0,0.21999999999999997,0.0,3.7799999999999994,1.0,False
"April 2, 2025",PHI,COL,2.0,0.0,-1.0,8.0,-1.0,0.10299999999999998,0.127,0.22000000000000003,0.347,-1.0,10.0,10.0,0.0,-0.44999999999999996,-0.030000000000000027,2.0600000000000005,1.0,True
"April 2, 2025",NYY,AZ,1.0,0.0,0.0,3.0,0.0,-0.007000000000000006,-0.02300000000000002,0.15800000000000003,0.135,-1.0,1.0,-10.0,7.0,0.1100000000000001,-0.07000000000000006,0.21999999999999886,0.0,False
"April 2, 2025",LAD,ATL,-2.0,0.0,3.0,1.0,1.0,0.08200000000000002,0.07300000000000001,0.256,0.32899999999999996,0.0,-7.0,0.0,1.0,-0.18999999999999995,-0.040000000000000036,-1.3999999999999986,-3.24,True
"April 3, 2025",BAL,BOS,1.0,0.0,-2.0,-3.0,1.0,0.048000000000000015,0.03500000000000003,0.08900000000000002,0.124,2.0,7.0,0.0,-1.0,0.21999999999999997,0.09999999999999998,-0.6699999999999982,2.0,False
"April 3, 2025",PHI,COL,0.0,-1.0,1.0,3.0,-1.0,0.10199999999999998,0.123,0.20600000000000002,0.32899999999999996,1.0,-1.0,3.0,-2.0,-0.5,0.040000000000000036,-3.9399999999999995,-1.13,True
"April 3, 2025",MIN,HOU,-3.0,1.0,-2.0,-4.0,-2.0,-0.01100000000000001,-0.03400000000000003,0.023999999999999966,-0.010000000000000009,1.0,-3.0,1.0,0.0,0.3700000000000001,-0.040000000000000036,2.1099999999999994,2.0,False
"April 3, 2025",NYY,AZ,2.0,0.0,2.0,4.0,0.0,0.01100000000000001,-0.006000000000000005,0.183,0.17700000000000005,-1.0,-1.0,2.0,0.0,0.020000000000000018,0.010000000000000009,-3.219999999999999,-2.38,True
"April 3, 2025",MIL,CIN,0.0,0.0,0.0,3.0,0.0,0.02099999999999999,0.03699999999999998,0.013000000000000012,0.050000000000000044,1.0,1.0,5.0,2.0,0.5499999999999999,-0.030000000000000027,3.5299999999999994,0.0,True
"April 4, 2025",DET,CWS,-2.0,1.0,3.0,3.0,2.0,0.05700000000000002,0.07699999999999996,0.08200000000000002,0.15900000000000003,-1.0,2.0,2.0,-1.0,-0.04999999999999982,0.010000000000000009,-4.02,-3.38,True
"April 4, 2025",BOS,STL,2.0,0.0,0.0,2.0,0.0,-0.04999999999999999,-0.045999999999999985,-0.09100000000000003,-0.137,-2.0,4.0,6.0,-6.0,0.1399999999999999,0.030000000000000027,-3.0599999999999987,-0.25,True
"April 4, 2025",CHC,SD,-2.0,0.0,-1.0,-3.0,1.0,-0.03999999999999998,-0.009999999999999953,-0.0050000000000000044,-0.015000000000000013,0.0,5.0,1.0,-6.0,0.53,0.07999999999999996,-2.0600000000000005,1.0,True
"April 4, 2025",NYM,TOR,3.0,-1.0,1.0,0.0,0.0,-0.08400000000000002,-0.065,-0.04700000000000004,-0.11199999999999999,0.0,-6.0,9.0,-1.0,-0.05999999999999983,0.010000000000000009,-1.0600000000000005,-1.13,True
"April 4, 2025",COL,ATH,0.0,1.0,-1.0,0.0,0.0,-0.010000000000000009,-0.010999999999999954,-0.07700000000000001,-0.08800000000000008,0.0,7.0,-7.0,-3.0,-0.050000000000000044,-0.050000000000000044,-0.7300000000000004,0.82,False
"April 4, 2025",PIT,NYY,-1.0,0.0,1.0,-4.0,-3.0,-0.08399999999999999,-0.08200000000000002,-0.32,-0.402,0.0,-3.0,0.0,3.0,0.19999999999999996,-0.020000000000000018,4.0,-1.0,False
"April 4, 2025",SF,SEA,5.0,1.0,-1.0,2.0,0.0,0.033,-0.0040000000000000036,0.09599999999999997,0.09199999999999997,0.0,4.0,-4.0,1.0,-0.22999999999999998,0.030000000000000027,-2.7600000000000016,0.7999999999999999,True
"April 4, 2025",WSH,AZ,-3.0,0.0,1.0,-3.0,0.0,-0.05500000000000002,-0.08599999999999997,-0.055999999999999994,-0.14200000000000002,0.0,-4.0,0.0,2.0,0.42999999999999994,-0.010000000000000009,1.1199999999999992,-1.0,False
